ablation_type,ablation_details,pearson_corr,spearman_corr,pearson_delta,spearman_delta,pearson_p_value,spearman_p_value,pearson_ci_lower,pearson_ci_upper,spearman_ci_lower,spearman_ci_upper,pearson_mean_diff,spearman_mean_diff,observed_pearson_diff,observed_spearman_diff,pearson_mean_diff_boot,pearson_ci_95,pearson_p_value_boot,pearson_p_value_perm,spearman_mean_diff_boot,spearman_ci_95,spearman_p_value_boot,spearman_p_value_perm
dino_dim,dim_213,0.9580044831257325,0.954027426313691,-7.151882116562813e-05,-0.00012444142737710884,,,,,,,,,-7.151882116562813e-05,-0.00012444142737710884,-7.105698359051857e-05,"(np.float64(-0.00017210595323022715), np.float64(3.046620676471971e-05))",0.9901,0.0668,-0.0001240075833211326,"(np.float64(-0.00029414093335158707), np.float64(4.3666361431546e-05))",0.9942,0.0387
dino_dim,dim_214,0.9579956450578827,0.9539615966025901,-8.035688901542049e-05,-0.00019027113847802646,,,,,,,,,-8.035688901542049e-05,-0.00019027113847802646,-8.075110512440323e-05,"(np.float64(-0.0002204397975723016), np.float64(4.850284749203169e-05))",0.9938,0.1239,-0.00019092744887977398,"(np.float64(-0.0004341778384305744), np.float64(4.800489245196552e-05))",0.9946,0.0271
dino_dim,dim_215,0.958132991835589,0.9542753790870149,5.698988869085042e-05,0.0001235113459467918,,,,,,,,,5.698988869085042e-05,0.0001235113459467918,5.799927860104963e-05,"(np.float64(-8.569809544380358e-05), np.float64(0.0002104246250967301))",0.9869,0.3224,0.00012502382878831574,"(np.float64(-8.837429616937454e-05), np.float64(0.00035127633973042524))",0.9849,0.109
dino_dim,dim_216,0.9581040211109942,0.9540176819452862,2.8019164096115823e-05,-0.0001341857957818382,,,,,,,,,2.8019164096115823e-05,-0.0001341857957818382,2.758655285128856e-05,"(np.float64(-0.00011257768157997616), np.float64(0.0001683824783931867))",0.9941,0.6209,-0.0001327456826250526,"(np.float64(-0.0003411838371603709), np.float64(7.409562085259392e-05))",0.9841,0.0705
dino_dim,dim_217,0.9579895564683891,0.9540574448623831,-8.644547850900075e-05,-9.442287868499655e-05,,,,,,,,,-8.644547850900075e-05,-9.442287868499655e-05,-8.694336854112631e-05,"(np.float64(-0.00028711180834703145), np.float64(0.00011957031043424909))",0.9954,0.2823,-9.527794416286327e-05,"(np.float64(-0.0004008298004713906), np.float64(0.00020822778690352242))",0.9945,0.4254
dino_dim,dim_218,0.9581603163850783,0.9542001884996097,8.431443818013307e-05,4.832075854166451e-05,,,,,,,,,8.431443818013307e-05,4.832075854166451e-05,8.477703197123332e-05,"(np.float64(-7.872577923218548e-05), np.float64(0.0002533407333609375))",0.9943,0.2073,4.949111189421937e-05,"(np.float64(-0.0001421674563895725), np.float64(0.0002418263138262742))",0.9876,0.4942
dino_dim,dim_219,0.9580894734468328,0.95412320999383,1.3471499934691877e-05,-2.8657747238036713e-05,,,,,,,,,1.3471499934691877e-05,-2.8657747238036713e-05,1.3535256292775255e-05,"(np.float64(-9.586194636067358e-05), np.float64(0.00012240260820412497))",0.9993,0.7519,-2.846041667090352e-05,"(np.float64(-0.0001938205529616438), np.float64(0.00012782942141518341))",0.9971,0.6276
dino_dim,dim_220,0.9580730566618041,0.9540745043668357,-2.94528509403591e-06,-7.736337423236428e-05,,,,,,,,,-2.94528509403591e-06,-7.736337423236428e-05,-2.256223831777393e-06,"(np.float64(-0.00016373196697517134), np.float64(0.00015207028035732945))",0.9905,0.962,-7.653900105573432e-05,"(np.float64(-0.0003014223174637581), np.float64(0.0001337099971311816))",0.9927,0.3104
dino_dim,dim_221,0.9578597545126453,0.9536501932267581,-0.00021624743425285864,-0.0005016745143099355,,,,,,,,,-0.00021624743425285864,-0.0005016745143099355,-0.00021392453719786496,"(np.float64(-0.0004741783724950238), np.float64(4.5599249593497314e-05))",0.9798,0.0288,-0.0004982892995629523,"(np.float64(-0.0009174521171325983), np.float64(-9.05286506404407e-05))",0.9835,0.0011
dino_dim,dim_222,0.957935451286815,0.9540183567003906,-0.00014055066008311634,-0.00013351104067749198,,,,,,,,,-0.00014055066008311634,-0.00013351104067749198,-0.000139640391936713,"(np.float64(-0.0003350877925730933), np.float64(5.570217856476396e-05))",0.9921,0.0752,-0.00013304237075388302,"(np.float64(-0.0004231216270372579), np.float64(0.00014762260930706254))",0.997,0.2269
dino_dim,dim_223,0.9578502498257098,0.9538146253912843,-0.00022575212118836063,-0.0003372423497838284,,,,,,,,,-0.00022575212118836063,-0.0003372423497838284,-0.00022666829678954034,"(np.float64(-0.0004344978286199058), np.float64(-2.9551219225905274e-05))",0.9903,0.0053,-0.00033959378645816564,"(np.float64(-0.0006305846509563945), np.float64(-9.01501635558934e-05))",0.9842,0.0004
dino_dim,dim_224,0.9580881399466527,0.9541407519988819,1.2137999754524564e-05,-1.1115742186151856e-05,,,,,,,,,1.2137999754524564e-05,-1.1115742186151856e-05,1.2307823366589765e-05,"(np.float64(-9.352452791220268e-05), np.float64(0.0001239494451995681))",0.9963,0.7777,-1.0083756508894992e-05,"(np.float64(-0.0001960818154707411), np.float64(0.00016913985432791482))",0.9859,0.8654
dino_dim,dim_225,0.9580415452926535,0.954086113421599,-3.445665424461897e-05,-6.575431946909127e-05,,,,,,,,,-3.445665424461897e-05,-6.575431946909127e-05,-3.4803460545369594e-05,"(np.float64(-0.00013902095601172004), np.float64(6.567209567495326e-05))",0.993,0.3875,-6.54787592827639e-05,"(np.float64(-0.00022254396109150089), np.float64(9.636444715238146e-05))",0.9967,0.2457
